# Stranger chat, dating, hookup, sexting and escort sites
#
# One domain per line.  '?' at the start = optional (commented out in the default output).
# Text after '#' is a note.  Subdomains are blocked automatically (||domain^).

onlysnaps.com           # premium Snapchat marketplace
ourtime.com             # OurTime
outpersonals.com        # FriendFinder network
paltalk.com             # public video chat rooms
parship.com             # Parship (EU)
passion.com             # FriendFinder network
pinkcupid.com           # PinkCupid lesbian dating
preferred411.com        # escort screening site
premium.chat            # paid chat/sexting platform
privatedelights.ch      # escort directory
pure.app                # Pure hookup app
quickflirt.com          # hookup site
raya.app                # Raya alternate
rayatheapp.com          # Raya
rentboy.com             # male escort site (seized)
rentmasseur.com         # male masseur/escort directory
rentmen.com             # RentMen legacy domain
rentmen.eu              # male escort directory
richmeetbeautiful.com   # sugar dating
rubmaps.ch              # erotic massage review site
rubmaps.com             # RubMaps legacy domain
sdc.com                 # swinger site
secretbenefits.com      # sugar dating
seeking.com             # Seeking (SeekingArrangement)
seekingarrangement.com  # legacy Seeking domain
sextfriend.com          # sexting site
sextingforum.net        # sexting partner forum
sextpanther.com         # paid sexting/calls
shagle.com              # random cam chat, adult
silversingles.com       # SilverSingles
sipsap.com              # escort classifieds
skipthegames.com        # escort classifieds
skout.com               # Skout social discovery
slixa.com               # escort directory
slutroulette.com        # adult random cam chat
snapsext.com            # sexting hookup site
sovip.io                # Snapchat search engine
spdate.com              # spam hookup site
spotafriend.com         # Spotafriend teen swiping app
strangermeetup.com      # random stranger chat
sudyapp.com             # Sudy sugar app
sugarbook.com           # sugar dating
sugardaddie.com         # sugar dating
sugardaddyforme.com     # sugar dating
sugardaddymeet.com      # sugar dating
surgeapp.co             # Surge gay dating
swapfinder.com          # swinger site
swinglifestyle.com      # swinger site
swingtowns.com          # swinger site
tagged.com              # Tagged social discovery
talktome.com            # phone sex marketplace
talkwithstranger.com    # random stranger chat
tantanapp.com           # Tantan
teen-chat.org           # teen chat rooms
teenchat.com            # teen chat rooms
thaifriendly.com        # Thai dating
theeroticreview.com     # escort review site
theinnercircle.co       # Inner Circle
theleague.com           # The League
thundr.com              # random cam chat
tinychat.com            # public video chat rooms
tnaboard.com            # escort review board
together2night.com      # hookup site
tryst.link              # escort directory
ts4rent.eu              # trans escort directory
tsescorts.com           # trans escort directory
twoo.com                # Twoo social discovery
uberhorny.com           # hookup site
uhmegle.com             # Omegle successor clone
usasexguide.com         # USASexGuide mirror
usasexguide.nl          # sex-services forum
victoriamilan.com       # affair site
videochatru.com         # Russian random cam chat
wakie.com               # Wakie voice chat with strangers
wellhello.com           # hookup site
whatsyourprice.com      # bid-for-dates site
wink.app                # Wink by 9count
wireclub.com            # chat rooms
wizzapp.com             # Wizz teen friend-finder
xmatch.com              # hookup site
y99.in                  # anonymous chat rooms
yellw.co                # Yubo legacy (Yellow) domain
yesbackpage.com         # Backpage clone
yesichat.com            # random chat rooms
yikyak.com              # Yik Yak anonymous local posts
zoeapp.co               # Zoe lesbian dating
zoosk.com               # Zoosk
? ask.fm                  # ASKfm anonymous Q&A
? bumble.com              # Bumble
? clubhouse.com           # drop-in audio rooms with strangers
? curiouscat.live         # CuriousCat anonymous Q&A
? eharmony.com            # eharmony
? gotinder.com            # Tinder API/link domain [Blocked services toggle: Tinder]
? hi5.com                 # hi5 social discovery (MeetMe family)
? hinge.co                # Hinge
? hingeaws.net            # Hinge API host
? imvu.com                # 3D avatar chat with adult access pass
? liveme.com              # LiveMe streaming
? locanto.com             # classifieds with heavy personals section
? match.com               # Match
? ngl.link                # NGL anonymous Q&A
? okcupid.com             # OkCupid
? plentyoffish.com        # Plenty of Fish alias
? pof.com                 # Plenty of Fish
? sarahah.com             # Sarahah anonymous messages
? tellonym.me             # Tellonym anonymous messages
? tinder.com              # Tinder [Blocked services toggle: Tinder]
? vivastreet.co.uk        # classifieds with adult section
? vivastreet.com          # classifieds with adult section
