# Furry, yiff, therian, otherkin, quadrobics and animal-fetish sites
#
# One domain per line.  '?' at the start = optional (commented out in the default output).
# Text after '#' is a note.  Subdomains are blocked automatically (||domain^).

metapix.net                       # Inkbunny image CDN (ib.metapix.net)
otherkin.fandom.com               # Otherkin wiki on Fandom
otherkin.net                      # Otherkin resource site
otherkin.wiki                     # Otherkin Wiki
otherkindex.carrd.co              # Otherkin and therian directory
otherkinphenomena.org             # Otherkin Phenomena forum
pahswithoutborders.com            # Pups and Handlers groups directory
petlust.com                       # Bestiality video site
pounced.org                       # Furry personals (defunct)
pupplay.info                      # Pup play info site
puppyplaycommunity.org            # Puppy play community hub
puppyplayexpert.com               # Puppy play guides
pupspace.net                      # Pup play social network/dating
sexyfur.com                       # Adult furry art site
shifti.org                        # Transformation fiction wiki (TSA successor)
sofurryfiles.com                  # SoFurry media CDN
sonverrid.org                     # The Sanctuary therian links/resources
tapestries.fur.com                # Adult furry MUCK
tf-fan.freeforums.net             # Transformation Fan Community forum
theri.app                         # Therian community app with gear catalog
therian-guide.com                 # Largest therian forum/guide
therian-wilderness.proboards.com  # Therian Wilderness forum
therian.fandom.com                # Therianthropy wiki on Fandom
therian.net                       # Therian site (unverified)
theriangear.com                   # Therian gear shop (unverified)
therianhaven.boards.net           # The Therian Haven forum
therianshop.com                   # Dedicated therian mask/tail/quadrobics gear store
transform.to                      # Transformation Story Archive / TSAT host
transformationforum.org           # Transformation Forum
transfur.com                      # Transformation (TF) art archive, furry-adjacent
u18chan.com                       # Furry adult imageboard
vore-station.net                  # VoreStation SS13 server
werelist.net                      # The Werelist therian forum
yiff.party                        # Defunct furry Patreon leak site
yiffalicious.com                  # 3D furry adult game
yiffer.xyz                        # Adult furry comic archive
zeta-verein.de                    # German zoophile advocacy organization
zoosection.com                    # Bestiality video site
zooskool.com                      # Bestiality video site
zootube365.com                    # Bestiality tube site
zooville.org                      # Zoophilia forum (BeastForum successor)
? abuniverse.com                    # AB Universe diaper retailer
? anthrochat.net                    # AnthroChat IRC network
? anthrocon.org                     # Anthrocon
? anthronw.com                      # Anthro Northwest
? awoo.space                        # Furry-adjacent Mastodon instance
? bambinodiapers.com                # ABDL diaper retailer
? biggestlittlefurcon.org           # BLFC
? confuzzled.org.uk                 # ConFuzzled UK
? ddlgplayground.com                # DDLG merchandise shop
? dogpatch.press                    # Furry news blog
? dragon.style                      # Dragon/furry-themed Mastodon instance
? en.wikifur.com                    # English WikiFur
? eurofurence.org                   # Eurofurence
? flayrah.com                       # Furry news site
? fur.com                           # Furry hosting domain (Tapestries etc.)
? furality.org                      # Furality VR convention
? furcadia.com                      # Furry MMO/roleplay world
? furfest.org                       # Midwest FurFest
? furlandia.org                     # Furlandia
? furnet.org                        # FurNet IRC network
? furplanet.com                     # Furry book/merch publisher
? furry.fandom.com                  # Furry wiki on Fandom
? furrycons.com                     # Convention directory
? furryfiesta.org                   # Texas Furry Fiesta
? furrylife.online                  # Furry Life Online social site
? furrymap.net                      # Map of furries near you
? furrymigration.org                # Furry Migration
? furryweekend.com                  # Furry Weekend Atlanta
? furrywritersguild.com             # Furry writers association
? furscience.com                    # Furry fandom research group
? fursonafy.com                     # Furry lifestyle/dating blog
? fursuitreview.com                 # Fursuit maker reviews
? furthemore.org                    # Fur the More
? furtrack.com                      # Fursuit photo database
? furvilla.com                      # Furry browser pet/village game
? itaku.ee                          # General art site with large furry/NSFW user base, mature toggle
? littleforbig.com                  # ABDL diaper/onesie retailer
? megaplexcon.org                   # Megaplex
? nordicfuzzcon.org                 # NordicFuzzCon
? onesiesdownunder.com              # ABDL onesie retailer
? pawb.fun                          # Furry Mastodon instance
? rearz.ca                          # Diaper retailer with ABDL line
? secondlife.com                    # Second Life; major furry/adult roleplay venue
? snouts.online                     # Furry Mastodon instance (defunct)
? sofawolf.com                      # Furry book publisher
? spindizzy.org                     # General furry MUCK
? thisfursonadoesnotexist.com       # AI fursona generator
? tykables.com                      # ABDL diaper retailer
? vulpine.club                      # Furry Mastodon instance
